"Post ID",Title,URL,Categories,"Category URLs","Published Date",Status
1,"Hello world!",https://www.zeiterfassung-fdm.de/hello-world/,Uncategorized,https://www.zeiterfassung-fdm.de/category/uncategorized/,"2024-12-22 10:29:39",Publish
8,"Digitale Mitarbeiter Zeiterfassung",https://www.zeiterfassung-fdm.de/,,,"2024-12-22 12:57:07",Publish
13,Kontakt,https://www.zeiterfassung-fdm.de/contact/,,,"2024-12-22 12:58:30",Publish
16,"Zeiterfassung mit Fingerabdruck-alt",https://www.zeiterfassung-fdm.de/?page_id=16,,,"2024-12-22 13:01:04",Draft
19,Referenzen-Zeiterfassungssystem,https://www.zeiterfassung-fdm.de/referenzen-zeiterfassungsysteme/,,,"2024-12-22 13:04:07",Publish
22,Preise,https://www.zeiterfassung-fdm.de/preise-mitarbeiter-zeiterfassung/,,,"2024-12-22 13:04:41",Publish
24,"Über uns &#8211; Zeiterfassung für den Mittelstand &#8211; ZFDM",https://www.zeiterfassung-fdm.de/zeiterfassung-fur-den-mittelstand/,,,"2024-12-22 13:05:12",Publish
165,"pop up",https://www.zeiterfassung-fdm.de/pop-up/,,,"2025-05-17 11:04:56",Publish
181,"Zeiterfassungssystem mit Chip-alt",https://www.zeiterfassung-fdm.de/?page_id=181,,,"2025-01-12 14:10:02",Draft
183,"Zeiterfassungssystem mit Gesichtserkennung-alt",https://www.zeiterfassung-fdm.de/?page_id=183,,,"2025-01-12 14:15:12",Draft
234,"Preise für Zeiterfassung mit Chip",https://www.zeiterfassung-fdm.de/zeiterfassung-mit-chip-preise-ohne-abo-kosten/,,,"2025-01-24 03:44:25",Publish
238,"Preise für Zeiterfassung mit Gesichtserkennung",https://www.zeiterfassung-fdm.de/preise-fur-zeiterfassung-mit-gesichtserkennung/,,,"2025-01-24 03:45:10",Publish
285,"Step-by-Step instruction with chip",https://www.zeiterfassung-fdm.de/step-by-step-instruction-with-chip/,,,"2025-02-06 14:28:26",Publish
287,"Step-by-Step instruction  with facial Recognition",https://www.zeiterfassung-fdm.de/step-by-step-instruction-with-facial-recognition/,,,"2025-02-06 14:30:40",Publish
289,"Step-by-Step instruction with fingerprint",https://www.zeiterfassung-fdm.de/step-by-step-instruction-with-fingerprint/,,,"2025-02-06 14:32:27",Publish
