url,title,description,h1,word_count,internal_links_count,external_links_count,images_count,has_canonical,is_indexable,onpage_score
"https://www.zeiterfassung-fdm.de/","Mitarbeiter Zeiterfassung & Zeiterfassungssysteme - ZfdM","Digitale Mitarbeiter Zeiterfassung & Zeiterfassungssysteme für den Mittelstand - einfach, günstig & webbasiert. Ohne Abo-Kosten - 14 Tage kostenlos testen!","Digitale Mitarbeiter Zeiterfassung -

Zeiterfassungsysteme günstig und webbasiert",2619,44,15,0,yes,yes,98.17
"https://www.zeiterfassung-fdm.de/7-grunde-gegen-zeiterfassung-mit-excel/","7 Gründe, warum Zeiterfassung mit Excel keine gute Idee ist |","Zeiterfassung mit Excel? Das ist keine gute Idee und den Grund dafür erfahren Sie hier und,wie Sie eine digitale Zeiterfassung implementieren können.","7 Gründe, warum Zeiterfassung mit Excel keine gute Idee ist",2170,48,1,0,yes,yes,97.07
"https://www.zeiterfassung-fdm.de/7-vorteile-digitale-zeiterfassung/","7 Vorteile Digitale Zeiterfassung für Kleinbetriebe","Vorteile Digitale Zeiterfassung: Die wichtigsten 7 Voreile erfahren Sie in diesem Beitrag. Machen Sie Ihr Unternehmen bereit für die digitale Zukunft!","7 Vorteile Digitale Zeiterfassung für Kleinbetriebe",1777,47,1,0,yes,yes,90.02
"https://www.zeiterfassung-fdm.de/affordable-simple-and-web-based-time-recording-for-medium-sized-businesses/","Affordable, simple and web-based time recording for medium-sized businesses |","Das Zeiterfassungssystem für den Mittelstand - ZfdM - heißt nicht zufällig wie es heißt. Denn es ist als webbasierte Applikation perfekt auf die Anforderungen kleinerer und mittlerer Unternehmen. Es i","",942,34,2,0,yes,yes,88.87
"https://www.zeiterfassung-fdm.de/agb-gunstige-zeiterfassung-fur-kleinbetriebe/","AGB Günstige Zeiterfassung für Kleinbetriebe |","Günstige Zeiterfassung für Kleinbetriebe und Mittelstand. Webbasiert, einfach & effizient. Ohne monatliche Kosten - Jetzt 14 Tage testen.","",3497,42,2,0,yes,yes,94.23
"https://www.zeiterfassung-fdm.de/arbeitszeiterfassung-fur-kleinbetriebe/","Arbeitszeiterfassung für Kleinbetriebe | und den Mittelstand","Arbeitszeiterfassung für Kleinbetriebe und den Mittelstand. Günstige einfache Zeiterfassung. Ohne monatliche Kosten - Kostenlos 14 Tage testen","Arbeitszeiterfassung für Kleinbetriebe",858,43,1,0,yes,yes,87.91
"https://www.zeiterfassung-fdm.de/arbeitszeiterfassung-fur-kleinbetriebe/?lang=de","Arbeitszeiterfassung für Kleinbetriebe | und den Mittelstand","Arbeitszeiterfassung für Kleinbetriebe und den Mittelstand. Günstige einfache Zeiterfassung. Ohne monatliche Kosten - Kostenlos 14 Tage testen","Arbeitszeiterfassung für Kleinbetriebe",858,43,1,0,yes,yes,97.44
"https://www.zeiterfassung-fdm.de/arbeitszeiterfassung-pflicht-in-deutschland/","Ist Arbeitszeiterfassung Pflicht in Deutschland?​​","Arbeitszeiterfassung Pflicht in Deutschland. In diesem Artikel erfahren Sie alles zur Zeiterfassungspflicht für Kleinbetriebe und den Mittelstand.","Ist Arbeitszeiterfassung Pflicht in Deutschland?​​",1366,47,8,0,yes,yes,97.07
"https://www.zeiterfassung-fdm.de/blog-rund-um-das-thema-zeiterfassung-von-zfdm/","Blog Rund um das Thema Zeiterfassung von ZfdM | Artikel","Günstige, webbasierte Mitarbeiter Zeiterfassung Blog. Aktuelle Artikel zum Thema Zeiterfassung für kleine und mittelständische Unternehmen.","",585,53,1,0,yes,yes,96.34
"https://www.zeiterfassung-fdm.de/blog-rund-um-das-thema-zeiterfassung-von-zfdm/page/2/","Blog Rund um das Thema Zeiterfassung von ZfdM | Artikel","Günstige, webbasierte Mitarbeiter Zeiterfassung Blog. Aktuelle Artikel zum Thema Zeiterfassung für kleine und mittelständische Unternehmen.","",401,46,1,0,yes,yes,97.44
"https://www.zeiterfassung-fdm.de/cookie-policy-eu/","Cookie Policy (EU) |","","Cookie Policy (EU)",1626,43,24,0,yes,yes,87.46
"https://www.zeiterfassung-fdm.de/datenschutz/","Datenschutz | günstig und effizient","Unsere Zeiterfassung KMU für Kleinbetriebe und Mittelstand. Einfach und webbasiert. Jetzt kostenlos 14 Tage testen ohne Risiko.","Datenschutz­erklärung",13598,42,30,0,yes,yes,96.06
"https://www.zeiterfassung-fdm.de/digitale-stechuhr-ohne-monatliche-kosten/","Mitarbeiter Zeiterfassung ohne monatlichen Kosten |","Digitale Stechuhr ohne monatliche Kosten - das ist moderne Mitarbeiter Zeiterfassung für Kleinbetriebe und den Mittelstand - jetzt kostenlos testen!","Mitarbeiter Zeiterfassung ohne monatlichen Kosten",1251,47,2,0,yes,yes,94.96
