url,status_code,resource_type,meta_title,meta_description,h1,canonical,content_encoding,size,load_time
"https://www.zeiterfassung-fdm.de/2025/04/06/",404,"broken","","","","","None",202012,888
"https://www.zeiterfassung-fdm.de/assets/img/Local_mapping.JPG",404,"broken","","","","","None",202030,1403
"https://www.zeiterfassung-fdm.de/in/step-by-step-instructions-with-facial-recognition/price.php",404,"broken","","","","","None",202064,1333
"https://www.zeiterfassung-fdm.de/in/time-recording-system-with-facial-recognition/price.php",404,"broken","","","","","None",202060,1463
"https://www.zeiterfassung-fdm.de/",200,"html","Mitarbeiter Zeiterfassung & Zeiterfassungssysteme - ZfdM","Digitale Mitarbeiter Zeiterfassung & Zeiterfassungssysteme für den Mittelstand - einfach, günstig & webbasiert. Ohne Abo-Kosten - 14 Tage kostenlos testen!","Digitale Mitarbeiter Zeiterfassung -

Zeiterfassungsysteme günstig und webbasiert","https://www.zeiterfassung-fdm.de/","gzip",399911,0
"https://www.zeiterfassung-fdm.de/7-grunde-gegen-zeiterfassung-mit-excel/",200,"html","7 Gründe, warum Zeiterfassung mit Excel keine gute Idee ist |","Zeiterfassung mit Excel? Das ist keine gute Idee und den Grund dafür erfahren Sie hier und,wie Sie eine digitale Zeiterfassung implementieren können.","7 Gründe, warum Zeiterfassung mit Excel keine gute Idee ist","https://www.zeiterfassung-fdm.de/7-grunde-gegen-zeiterfassung-mit-excel/","gzip",250207,0
"https://www.zeiterfassung-fdm.de/7-vorteile-digitale-zeiterfassung/",200,"html","7 Vorteile Digitale Zeiterfassung für Kleinbetriebe","Vorteile Digitale Zeiterfassung: Die wichtigsten 7 Voreile erfahren Sie in diesem Beitrag. Machen Sie Ihr Unternehmen bereit für die digitale Zukunft!","7 Vorteile Digitale Zeiterfassung für Kleinbetriebe","https://www.zeiterfassung-fdm.de/7-vorteile-digitale-zeiterfassung/","gzip",260004,0
"https://www.zeiterfassung-fdm.de/affordable-simple-and-web-based-time-recording-for-medium-sized-businesses/",200,"html","Affordable, simple and web-based time recording for medium-sized businesses |","Das Zeiterfassungssystem für den Mittelstand - ZfdM - heißt nicht zufällig wie es heißt. Denn es ist als webbasierte Applikation perfekt auf die Anforderungen kleinerer und mittlerer Unternehmen. Es ist ein modular aufgebautes und flexibel einsetzbares","","https://www.zeiterfassung-fdm.de/affordable-simple-and-web-based-time-recording-for-medium-sized-businesses/","gzip",224157,0
"https://www.zeiterfassung-fdm.de/agb-gunstige-zeiterfassung-fur-kleinbetriebe/",200,"html","AGB Günstige Zeiterfassung für Kleinbetriebe |","Günstige Zeiterfassung für Kleinbetriebe und Mittelstand. Webbasiert, einfach & effizient. Ohne monatliche Kosten - Jetzt 14 Tage testen.","","https://www.zeiterfassung-fdm.de/agb-gunstige-zeiterfassung-fur-kleinbetriebe/","gzip",246848,0
"https://www.zeiterfassung-fdm.de/arbeitszeiterfassung-fur-kleinbetriebe/",200,"html","Arbeitszeiterfassung für Kleinbetriebe | und den Mittelstand","Arbeitszeiterfassung für Kleinbetriebe und den Mittelstand. Günstige einfache Zeiterfassung. Ohne monatliche Kosten - Kostenlos 14 Tage testen","Arbeitszeiterfassung für Kleinbetriebe","https://www.zeiterfassung-fdm.de/arbeitszeiterfassung-fur-kleinbetriebe/","gzip",246931,0
"https://www.zeiterfassung-fdm.de/arbeitszeiterfassung-fur-kleinbetriebe/?lang=de",200,"html","Arbeitszeiterfassung für Kleinbetriebe | und den Mittelstand","Arbeitszeiterfassung für Kleinbetriebe und den Mittelstand. Günstige einfache Zeiterfassung. Ohne monatliche Kosten - Kostenlos 14 Tage testen","Arbeitszeiterfassung für Kleinbetriebe","https://www.zeiterfassung-fdm.de/arbeitszeiterfassung-fur-kleinbetriebe/","gzip",246970,0
"https://www.zeiterfassung-fdm.de/arbeitszeiterfassung-pflicht-in-deutschland/",200,"html","Ist Arbeitszeiterfassung Pflicht in Deutschland?​​","Arbeitszeiterfassung Pflicht in Deutschland. In diesem Artikel erfahren Sie alles zur Zeiterfassungspflicht für Kleinbetriebe und den Mittelstand.","Ist Arbeitszeiterfassung Pflicht in Deutschland?​​","https://www.zeiterfassung-fdm.de/arbeitszeiterfassung-pflicht-in-deutschland/","gzip",251037,0
"https://www.zeiterfassung-fdm.de/blog-rund-um-das-thema-zeiterfassung-von-zfdm/",200,"html","Blog Rund um das Thema Zeiterfassung von ZfdM | Artikel","Günstige, webbasierte Mitarbeiter Zeiterfassung Blog. Aktuelle Artikel zum Thema Zeiterfassung für kleine und mittelständische Unternehmen.","","https://www.zeiterfassung-fdm.de/blog-rund-um-das-thema-zeiterfassung-von-zfdm/","gzip",234998,0
"https://www.zeiterfassung-fdm.de/blog-rund-um-das-thema-zeiterfassung-von-zfdm/page/2/",200,"html","Blog Rund um das Thema Zeiterfassung von ZfdM | Artikel","Günstige, webbasierte Mitarbeiter Zeiterfassung Blog. Aktuelle Artikel zum Thema Zeiterfassung für kleine und mittelständische Unternehmen.","","https://www.zeiterfassung-fdm.de/blog-rund-um-das-thema-zeiterfassung-von-zfdm/","gzip",217263,0
"https://www.zeiterfassung-fdm.de/cookie-policy-eu/",200,"html","Cookie Policy (EU) |","","Cookie Policy (EU)","https://www.zeiterfassung-fdm.de/cookie-policy-eu/","gzip",227274,0
"https://www.zeiterfassung-fdm.de/datenschutz/",200,"html","Datenschutz | günstig und effizient","Unsere Zeiterfassung KMU für Kleinbetriebe und Mittelstand. Einfach und webbasiert. Jetzt kostenlos 14 Tage testen ohne Risiko.","Datenschutz­erklärung","https://www.zeiterfassung-fdm.de/datenschutz/","gzip",320684,0
"https://www.zeiterfassung-fdm.de/digitale-stechuhr-ohne-monatliche-kosten/",200,"html","Mitarbeiter Zeiterfassung ohne monatlichen Kosten |","Digitale Stechuhr ohne monatliche Kosten - das ist moderne Mitarbeiter Zeiterfassung für Kleinbetriebe und den Mittelstand - jetzt kostenlos testen!","Mitarbeiter Zeiterfassung ohne monatlichen Kosten","https://www.zeiterfassung-fdm.de/digitale-stechuhr-ohne-monatliche-kosten/","gzip",231778,0
"https://www.zeiterfassung-fdm.de/digitale-zeiterfassung-fuer-hotels/",200,"html","Digitale Zeiterfassung für Hotels | Effizient und günstig","Die digitale Zeiterfassung für Hotels ermöglicht die vollständige und fehlerfreie Arbeitszeiterfassung in Hotels. Einfach und ohne Abo!","Digitale Zeiterfassung für Hotels","https://www.zeiterfassung-fdm.de/digitale-zeiterfassung-fuer-hotels/","gzip",235813,0
"https://www.zeiterfassung-fdm.de/digitale-zeiterfassung-fuer-kleinbetriebe/",200,"html","Was kostet digitale Zeiterfassung für Kleinbetriebe?","Die Kosten für digitale Zeiterfassung für Kleinbetriebe hängen von vielen Faktoren ab. Erfahren Sie in diesem Beitrag alles, was Sie wissen müssen!","Was kostet digitale Zeiterfassung für Kleinbetriebe?","https://www.zeiterfassung-fdm.de/digitale-zeiterfassung-fuer-kleinbetriebe/","gzip",241560,0
"https://www.zeiterfassung-fdm.de/digitale-zeiterfassung-fur-cafes/",200,"html","Digitale Zeiterfassung für Cafés | ohne monatliche Kosten","Digitale Zeiterfassung für Cafés hilft die Mitarbeiter Arbeitszeiten lückenlos, fehlerfrei und effizient zu erfassen. Jetzt 14 Tage kostenlos testen.","Digitale Zeiterfassung für Cafés","https://www.zeiterfassung-fdm.de/digitale-zeiterfassung-fur-cafes/","gzip",237355,0
"https://www.zeiterfassung-fdm.de/digitale-zeiterfassung-fur-die-arztpraxis/",200,"html","Digitale Zeiterfassung für die Arztpraxis | Referenzen","Digitale Mitarbeiter Zeiterfassung für die Arztpraxis. Wie Ärzte und Praxismitarbeiter ihre Zeiterfassung erfolgreich rechtssicher einführen.","Digitale Zeiterfassung für die Arztpraxis","https://www.zeiterfassung-fdm.de/digitale-zeiterfassung-fur-die-arztpraxis/","gzip",244102,0
